strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
USA/PP_000SE01.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201448.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE1Z.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex restuans	OZ201656.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE2X.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201818.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE3V.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201642.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE4T.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201829.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE5R.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201433.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE6P.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201830.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE7M.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201821.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE8K.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201634.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SE9H.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201842.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEAF.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201636.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEBD.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex restuans	OZ201845.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SECB.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex restuans	OZ201646.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SED9.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex restuans	OZ201840.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEE7.1/2018-08-16	2018-08-16	North America	USA	Connecticut	1A	False	Culex restuans	OZ201661.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEF5.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201843.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEG3.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201658.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEH0.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201847.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEJY.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201660.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEKW.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201839.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SELU.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex restuans	OZ201657.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEMS.1/2018-08-20	2018-08-20	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201841.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SENQ.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201891.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEPN.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201846.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEQL.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201844.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SERJ.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201543.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SESG.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201869.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SETE.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201537.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEUC.1/2018-08-21	2018-08-21	North America	USA	Connecticut	1A	False	Culex restuans	OZ201854.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEVA.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201535.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEW8.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201551.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEX6.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201552.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEY4.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201545.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SEZ2.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201538.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF00.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201547.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF1Y.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201443.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF2W.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201893.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF3U.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex restuans	OZ201429.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF4S.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex restuans	OZ201898.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF5Q.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex restuans	OZ201438.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF6N.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culex restuans	OZ201906.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF7L.1/2018-08-22	2018-08-22	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201437.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF8J.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201895.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SF9G.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201615.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFAE.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201909.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFBC.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201801.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFCA.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201889.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFD8.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201805.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFE6.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201789.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFF4.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex restuans	OZ201894.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFG2.1/2018-08-23	2018-08-23	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201808.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFHZ.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201747.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFJX.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201796.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFKV.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201746.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFLT.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201807.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFMR.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201421.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFNP.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201442.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFPM.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201800.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFQK.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201763.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFRH.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201803.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFSF.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex restuans	OZ201765.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFTD.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex restuans	OZ201802.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFUB.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex restuans	OZ201799.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFV9.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex restuans	OZ201773.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFW7.1/2018-08-27	2018-08-27	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201797.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFX5.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201617.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFY3.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201791.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SFZ1.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201610.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG0Z.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201788.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG1X.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201619.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG2V.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201792.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG3T.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culex restuans	OZ201611.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG4R.1/2018-08-28	2018-08-28	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201794.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG5P.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201710.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG6M.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201613.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG7K.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201700.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG8H.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201699.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SG9F.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201616.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGAD.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201340.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGBB.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201618.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGC9.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201401.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGD7.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201609.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGE5.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201315.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGF3.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201612.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGG1.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201325.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGHY.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201926.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGJW.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201304.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGKU.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culex restuans	OZ201917.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGLS.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201307.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGMQ.1/2018-08-29	2018-08-29	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201394.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGNN.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201571.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGPL.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201392.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGQJ.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201582.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGRG.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201332.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SGSE.1/2018-08-30	2018-08-30	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201585.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
